Rank,Team,Rating,Avg_Rank,Avg_Rating,1Y_Change_Rank,1Y_Change_Rating,Matches_Total,Home,Away,Neutral,Wins,Losses,Draws,Goals_For,Against
1,Spain,2171,7,1945,0,-6,778,338,302,138,460,138,180,1588,697
2,Argentina,2113,5,1986,0,+5,1109,381,419,309,607,230,272,2106,1140
3,France,2063,16,1793,0,+7,935,473,340,122,471,269,195,1696,1270
4,England,2042,4,1983,0,+36,1159,508,524,127,683,215,261,2718,1118
5,Colombia,1998,49,1618,+2,+21,648,184,230,234,265,204,179,843,742
6,Brazil,1979,4,1998,-1,-18,1062,371,346,345,669,170,223,2289,949
7,Portugal,1976,19,1796,-1,-17,692,320,260,112,345,189,158,1220,779
8,Netherlands,1959,15,1848,+2,+21,899,427,358,114,464,239,196,1889,1140
9,Croatia,1933,12,1881,+5,+47,396,156,167,73,208,82,106,691,397
9,Ecuador,1933,64,1523,+3,+24,596,183,210,203,183,254,159,717,901
11,Norway,1922,38,1622,+11,+116,884,424,408,52,334,354,196,1372,1441
12,Germany,1910,8,1911,-4,-61,1043,468,414,161,602,224,217,2346,1228
13,Switzerland,1897,27,1689,+6,+83,892,423,391,78,318,372,202,1331,1478
14,Uruguay,1891,12,1876,-5,-58,1019,337,432,250,447,321,251,1613,1256
15,Turkey,1880,43,1610,+14,+106,667,289,299,79,261,250,156,945,969
16,Japan,1879,62,1465,-3,-11,833,331,204,298,406,257,170,1512,982
17,Denmark,1864,20,1798,-1,+8,901,412,395,94,418,298,185,1644,1218
18,Italy,1859,8,1916,-7,-71,900,406,323,171,479,177,244,1578,893
19,Morocco,1853,43,1656,+4,+51,726,315,218,193,362,164,200,1094,610
20,Belgium,1849,24,1755,-3,-1,874,415,374,85,389,302,183,1593,1356
21,Mexico,1834,20,1782,+11,+65,1022,294,271,457,529,258,235,1814,1054
22,Paraguay,1833,23,1755,+6,+58,787,214,365,208,276,302,209,1002,1113
23,Senegal,1822,57,1589,+8,+52,698,221,255,222,314,192,192,959,668
24,Austria,1818,20,1810,-9,-53,862,428,383,51,368,310,184,1552,1318
25,Ukraine,1802,31,1744,-2,0,336,134,144,58,152,89,95,473,353
25,Canada,1802,48,1604,+1,+18,481,147,199,135,188,182,111,619,610
27,Scotland,1790,14,1879,+6,+31,864,401,412,51,410,266,188,1488,1071
28,South Korea,1784,35,1688,+1,+10,1049,354,254,441,573,218,258,1915,961
29,Russia,1782,24,1742,-4,-7,810,309,382,119,429,173,208,1473,777
30,Australia,1774,34,1672,+12,+55,633,269,223,141,324,179,130,1283,713
31,Serbia,1769,20,1786,-10,-41,859,301,423,135,402,265,192,1615,1172
32,Greece,1761,49,1559,-12,-51,654,297,294,63,251,248,155,833,905
33,Iran,1754,41,1657,-15,-83,670,223,196,251,382,131,157,1274,524
34,United States,1747,41,1642,0,-11,823,485,253,85,366,284,173,1244,1066
35,Panama,1742,100,1360,+5,+16,587,199,224,164,195,250,142,732,902
36,Poland,1736,30,1711,+10,+36,918,394,409,115,399,294,225,1558,1235
37,Uzbekistan,1735,60,1595,+11,+50,361,127,128,106,178,110,73,628,394
38,Czechia,1731,13,1855,-3,-23,880,358,416,106,424,261,195,1620,1093
38,Nigeria,1731,38,1669,+33,+181,709,241,261,207,329,179,201,1069,718
38,Chile,1731,29,1677,+6,+18,851,329,306,216,318,345,188,1192,1211
41,Algeria,1728,48,1621,+7,+43,691,261,235,195,310,198,183,1049,710
42,Wales,1715,22,1671,-4,-17,731,343,356,32,236,331,164,915,1171
42,Venezuela,1715,84,1430,-6,-29,479,179,178,122,128,245,106,517,871
44,Kosovo,1714,103,1417,+26,+160,105,47,38,20,41,41,23,148,141
45,Peru,1707,35,1678,-4,-15,706,266,253,187,228,303,175,855,983
46,Hungary,1698,20,1835,-19,-80,1031,465,492,74,486,324,221,2068,1525
47,Slovenia,1695,53,1627,-8,-32,316,144,142,30,116,115,85,399,370
48,Jordan,1691,112,1318,+6,+73,580,201,190,189,206,218,156,724,707
49,Ireland,1688,24,1625,+8,+80,738,376,303,59,260,287,191,970,1158
50,Slovakia,1687,40,1681,-5,-14,367,154,169,44,150,131,86,519,456
51,Egypt,1669,37,1663,-1,+12,880,353,280,247,446,215,219,1542,920
52,Bolivia,1665,60,1508,-2,+8,531,186,205,140,120,291,120,544,1047
53,Albania,1664,73,1504,0,+29,406,190,184,32,116,205,85,395,599
54,Sweden,1660,17,1796,-18,-84,1119,488,501,130,549,335,235,2224,1480
55,Georgia,1650,70,1552,-8,-41,317,138,147,32,105,146,66,408,441
56,Romania,1642,29,1717,-14,-77,798,332,374,92,354,245,199,1303,1015
57,DR Congo,1639,62,1558,+15,+98,545,166,225,154,224,171,150,832,641
58,Ivory Coast,1637,45,1640,+5,+58,690,241,237,212,346,166,178,1125,695
59,Costa Rica,1632,35,1690,-7,-20,787,259,281,247,356,241,190,1366,909
60,Israel,1631,49,1620,-2,+30,522,249,211,62,196,207,119,801,762
61,Tunisia,1614,47,1617,-2,+16,772,336,250,186,329,228,215,1103,836
62,Cameroon,1606,52,1605,-2,+12,659,184,246,229,286,171,202,950,711
63,Northern Ireland,1603,40,1655,+5,+43,608,276,295,37,171,288,149,642,922
64,North Macedonia,1592,74,1533,-9,-18,301,141,130,30,95,129,77,364,403
64,Saudi Arabia,1592,75,1502,+11,+56,835,324,150,361,399,242,194,1289,884
66,Mali,1589,70,1523,-11,-21,625,195,232,198,250,206,169,828,718
67,New Zealand,1586,66,1500,-6,+2,437,133,189,115,180,178,79,763,642
68,Iraq,1583,47,1622,-7,-1,757,138,231,388,357,189,211,1196,705
69,Bosnia and Herzegovina,1571,53,1626,+16,+87,277,116,135,26,104,111,62,391,383
70,Honduras,1567,63,1500,-2,+7,666,212,217,237,263,231,172,962,855
71,Iceland,1566,81,1424,-7,-10,522,216,248,58,160,260,102,632,874
72,Cape Verde,1561,120,1301,+15,+89,248,79,91,78,94,95,59,264,272
73,Haiti,1542,81,1417,0,+4,559,181,196,182,246,196,117,956,757
74,Angola,1541,87,1455,-7,-26,473,166,184,123,175,140,158,575,489
75,United Arab Emirates,1540,98,1395,+1,+6,672,285,141,246,263,237,172,933,829
76,Burkina Faso,1533,98,1402,+10,+53,489,152,186,151,169,191,129,606,671
77,South Africa,1529,32,1708,-13,-47,522,273,161,88,231,140,151,717,539
78,Guatemala,1528,68,1485,+3,+22,624,205,180,239,225,233,166,877,844
