,Name,Rank,Points,Country,Tournaments_Played,Best_Rank
0,Jannik Sinner,1,10430,Italy,19,1
1,Carlos Alcaraz,2,9300,Spain,17,1
2,Alexander Zverev,3,6500,Germany,25,2
3,Jack Draper,4,4650,United Kingdom,21,4
4,Taylor Fritz,5,4635,USA,25,4
5,Novak Djokovic,6,4630,Serbia,18,1
6,Lorenzo Musetti,7,4140,Italy,31,6
7,Holger Rune,8,3530,Denmark,23,4
8,Daniil Medvedev,9,3420,Russia,19,1
9,Ben Shelton,10,3170,USA,24,10
10,Alex de Minaur,11,3085,Australia,25,6
11,Frances Tiafoe,12,2990,USA,24,10
12,Tommy Paul,13,2970,USA,24,8
13,Andrey Rublev,14,2920,Russia,24,5
14,Casper Ruud,15,2905,Norway,24,2
15,Arthur Fils,16,2830,France,27,14
16,Jakub Mensik,17,2356,Czechia,23,17
17,Francisco Cerundolo,18,2285,Argentina,27,18
18,Karen Khachanov,19,2240,Russia,22,8
19,Ugo Humbert,20,2195,France,28,13
20,Grigor Dimitrov,21,2155,Bulgaria,21,3
21,Alexei Popyrin,22,2140,Australia,22,21
22,Tomas Machac,23,2110,Czechia,24,20
23,Flavio Cobolli,24,2060,Italy,30,24
24,Jiri Lehecka,25,1965,Czechia,25,22
25,Stefanos Tsitsipas,26,1920,Greece,25,3
26,Felix Auger-Aliassime,27,1775,Canada,23,6
27,Alejandro Davidovich Fokina,28,1770,Spain,24,21
28,Denis Shapovalov,29,1676,Canada,23,10
29,Alexander Bublik,30,1675,Kazakhstan,27,17
30,Sebastian Korda,31,1655,USA,25,15
31,Brandon Nakashima,32,1650,USA,30,29
32,Alex Michelsen,33,1620,USA,31,32
33,Tallon Griekspoor,34,1535,Netherlands,25,21
34,Matteo Berrettini,35,1515,Italy,16,6
35,Giovanni Mpetshi Perricard,36,1411,France,29,29
36,Nuno Borges,37,1400,Portugal,29,30
37,Sebastián Báez,38,1370,Argentina,28,18
38,Hubert Hurkacz,39,1335,Poland,24,6
39,Alexandre Muller,40,1311,France,31,39
40,Gabriel Diallo,41,1285,Canada,22,41
41,Gael Monfils,42,1265,France,22,6
42,Roberto Bautista Agut,43,1236,Spain,26,9
43,Matteo Arnaldi,44,1215,Italy,25,30
44,Jordan Thompson,45,1200,Australia,28,26
45,Marcos Giron,46,1175,USA,29,37
46,Quentin Halys,47,1174,France,19,47
47,Lorenzo Sonego,48,1171,Italy,31,21
48,Miomir Kecmanovic,49,1146,Serbia,30,27
49,Zizou Bergs,50,1079,Belgium,23,49
50,Jacob Fearnley,51,1048,United Kingdom,7,49
51,Pedro Martinez,52,1030,Spain,30,36
52,Tomas Martin Etcheverry,53,1025,Argentina,29,27
53,Jaume Munar,54,1012,Spain,31,52
54,Camilo Ugo Carabelli,55,1006,Argentina,23,51
55,Luciano Darderi,56,1004,Italy,32,32
56,Joao Fonseca,57,991,Brazil,14,57
57,Fabian Marozsan,58,990,Hungary,25,36
58,Daniel Altmaier,59,983,Germany,30,47
59,Alejandro Tabilo,60,955,Chile,25,19
60,Cameron Norrie,61,952,United Kingdom,24,8
61,Laslo Djere,62,936,Serbia,23,27
62,David Goffin,63,930,Belgium,27,7
63,Benjamin Bonzi,64,930,France,32,42
64,Francisco Comesaña,65,914,Argentina,27,61
65,Kei Nishikori,66,903,Japan,8,4
66,Learner Tien,67,903,USA,13,66
67,Damir Dzumhur,68,900,Bosnia &amp; Herzegovina,24,23
